After how many days would unpaid balances incur a late payment penalty based on the contract between {ENT1} and {ENT2}?: entities=['Errg Zipo', 'Ecxk Avfj'], y=0.0
Within how many days must the invoice be paid in full based on the contract between {ENT1} and {ENT2}?: entities=['Qsihxg GmbH', 'Jzrcws SA'], y=0.0
Which jurisdiction's laws govern the contract between {ENT1} and {ENT2}?: entities=['Mjlwxf NV', 'Vkitze GmbH'], y=0.0
What benefit was provided to the employee based on the contract between {ENT1} and {ENT2}?: entities=['Ctvepy SAS', 'Okrb Qxpd'], y=0.0
What was the quantity of the good being sold based on the contract between {ENT1} and {ENT2}?: entities=['Dmimyu GmbH', 'Ajoo Gufx'], y=0.0
What was the late payment interest rate based on the contract between {ENT1} and {ENT2}?: entities=['Ecxk Avfj', 'Qpubwe PLC'], y=0.0
What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?: entities=['Clsvfw AG', 'Ffsi Mneb'], y=0.0
What was the frequency of salary payment based on the contract between {ENT1} and {ENT2}?: entities=['Skqn Esui', 'Lasnoj SAS'], y=0.0
What was the address of {ENT1} in the contract with {ENT2}?: entities=['Txctcl AG', 'Xqtb Laur'], y=0.0
What was the late payment interest rate based on the contract between {ENT1} and {ENT2}?: entities=['Xqtb Laur', 'Yrnw Lvgj'], y=0.0
What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?: entities=['Tapd Abuk', 'Clsvfw AG'], y=0.0
What was the quantity of the good being sold based on the contract between {ENT1} and {ENT2}?: entities=['Nchdfd AG', 'Mjlwxf NV'], y=0.0
What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?: entities=['Avrbci Ltd', 'Wnzatj SAS'], y=0.0
What was the late payment interest rate based on the contract between {ENT1} and {ENT2}?: entities=['Lasnoj SAS', 'Cqndue LLC'], y=0.0
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between {ENT1} and {ENT2}?: entities=['Yrnw Lvgj', 'Vkitze GmbH'], y=0.0
What was the good that the seller was selling to the customer based on the contract between {ENT1} and {ENT2}?: entities=['Vkitze GmbH', 'Errg Zipo'], y=0.0
